Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots,ShotsOnTarget,ShotsOnTarget_pct,Passes,PassesAccurate,PassAccuracy_pct,Possession_pct,Losses,Losses_Low,Losses_Medium,Losses_High,Recoveries,Recoveries_Low,Recoveries_Medium,Recoveries_High,Duels,DuelsWon,DuelsWon_pct,ShotsOutsideBox,ShotsOutsideBox_OnTarget,ShotsOutsideBox_OnTarget_pct,PositionalAttacks,PositionalAttacks_withShots,PositionalAttacks_withShots_pct,Counterattacks,Counterattacks_withShots,Counterattacks_withShots_pct,SetPieces,SetPieces_withShots,SetPieces_withShots_pct,Corners,Corners_withShots,Corners_withShots_pct,FreeKicks,FreeKicks_withShots,FreeKicks_withShots_pct,Penalties,Penalties_Converted,Penalties_Converted_pct,Crosses,CrossesAccurate,CrossesAccurate_pct,DeepCompletedCrosses,DeepCompletedPasses,PenaltyAreaEntries,PenaltyAreaEntries_Runs,PenaltyAreaEntries_Crosses,TouchesInPenaltyArea,OffensiveDuels,OffensiveDuelsWon,OffensiveDuelsWon_pct,Offsides,ConcededGoals,ShotsAgainst,ShotsAgainstOnTarget,ShotsAgainstOnTarget_pct,DefensiveDuels,DefensiveDuelsWon,DefensiveDuelsWon_pct,AerialDuels,AerialDuelsWon,AerialDuelsWon_pct,SlidingTackles,SlidingTacklesSuccessful,SlidingTacklesSuccessful_pct,Interceptions,Clearances,Fouls,YellowCards,RedCards,ForwardPasses,ForwardPassesAccurate,ForwardPassesAccurate_pct,BackPasses,BackPassesAccurate,BackPassesAccurate_pct,LateralPasses,LateralPassesAccurate,LateralPassesAccurate_pct,LongPasses,LongPassesAccurate,LongPassesAccurate_pct,PassesToFinalThird,PassesToFinalThirdAccurate,PassesToFinalThirdAccurate_pct,ProgressivePasses,ProgressivePassesAccurate,ProgressivePassesAccurate_pct,SmartPasses,SmartPassesAccurate,SmartPassesAccurate_pct,ThrowIns,ThrowInsAccurate,ThrowInsAccurate_pct,GoalKicks,MatchTempo,AvgPassesPerPossession,LongPass_pct,AvgShotDistance,AvgPassLength,PPDA,Result,GoalsFor,GoalsAgainst,HomeAway,Opponent,Season,xG_diff
2022-11-13,Georgetown Hoyas - Creighton Bluejays 0:3,United States. NCAA D1 Big East,103.0,Creighton Bluejays,3-4-3 (100.0%),3.0,1.9,15.0,8.0,53.33,449.0,362.0,80.62,46.48,136.0,29.0,52.0,55.0,104.0,50.0,40.0,14.0,221.0,107.0,48.42,5.0,1.0,20.0,33.0,11.0,33.33,0.0,0.0,0.0,27.0,3.0,11.11,3.0,1.0,33.33,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14.29,1.0,9.0,20.0,6.0,5.0,20.0,65.0,24.0,36.92,1.0,0.0,12.0,3.0,25.0,87.0,49.0,56.32,49.0,28.0,57.14,6.0,1.0,16.67,59.0,24.0,18.0,3.0,0.0,184.0,131.0,71.2,62.0,60.0,96.77,141.0,120.0,85.11,69.0,37.0,53.62,57.0,35.0,61.4,77.0,55.0,71.43,8.0,5.0,62.5,23.0,17.0,73.91,10.0,17.28,3.48,15.37,21.21,19.75,7.63,Win,3,0,Away,Georgetown Hoyas,2022,1.1
2022-11-10,Seton Hall Pirates - Creighton Bluejays 0:6,United States. NCAA D1 Big East,110.0,Creighton Bluejays,3-4-3 (100.0%),6.0,2.81,8.0,7.0,87.5,546.0,468.0,85.71,57.9,142.0,35.0,53.0,54.0,94.0,50.0,35.0,9.0,251.0,113.0,45.02,0.0,0.0,0.0,24.0,4.0,16.67,0.0,0.0,0.0,30.0,3.0,10.0,7.0,3.0,42.86,2.0,0.0,0.0,1.0,1.0,100.0,11.0,8.0,72.73,8.0,5.0,25.0,4.0,7.0,18.0,73.0,30.0,41.1,1.0,0.0,14.0,1.0,7.14,82.0,42.0,51.22,57.0,27.0,47.37,0.0,0.0,0.0,50.0,27.0,19.0,3.0,0.0,167.0,122.0,73.05,77.0,72.0,93.51,241.0,224.0,92.95,53.0,25.0,47.17,53.0,33.0,62.26,90.0,65.0,72.22,3.0,2.0,66.67,22.0,14.0,63.64,8.0,16.62,4.59,9.71,9.02,20.39,8.28,Win,6,0,Away,Seton Hall Pirates,2022,3.19
2022-11-06,Xavier Musketeers - Creighton Bluejays 1:2,United States. NCAA D1 Big East,101.0,Creighton Bluejays,3-4-2-1 (100.0%),2.0,0.98,5.0,2.0,40.0,392.0,297.0,75.77,47.98,127.0,19.0,56.0,52.0,101.0,60.0,30.0,11.0,251.0,127.0,50.6,2.0,0.0,0.0,23.0,2.0,8.7,0.0,0.0,0.0,25.0,2.0,8.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,7.0,5.0,71.43,4.0,1.0,13.0,0.0,5.0,7.0,59.0,25.0,42.37,0.0,1.0,11.0,6.0,54.55,95.0,61.0,64.21,68.0,31.0,45.59,4.0,0.0,0.0,36.0,17.0,11.0,2.0,0.0,152.0,94.0,61.84,50.0,44.0,88.0,141.0,125.0,88.65,70.0,35.0,50.0,54.0,23.0,42.59,76.0,47.0,61.84,2.0,1.0,50.0,24.0,17.0,70.83,7.0,15.22,3.27,17.86,19.28,22.59,13.81,Win,2,1,Away,Xavier Musketeers,2022,1.02
2022-11-03,Providence Friars - Creighton Bluejays 4:2,United States. NCAA D1 Big East,108.0,Creighton Bluejays,3-4-3 (61.77%),2.0,1.81,12.0,7.0,58.33,615.0,532.0,86.5,60.75,119.0,15.0,40.0,64.0,110.0,45.0,44.0,21.0,233.0,112.0,48.07,5.0,4.0,80.0,44.0,6.0,13.64,0.0,0.0,0.0,24.0,3.0,12.5,4.0,2.0,50.0,3.0,1.0,33.33,1.0,1.0,100.0,19.0,6.0,31.58,6.0,16.0,38.0,11.0,10.0,27.0,91.0,33.0,36.26,1.0,4.0,9.0,6.0,66.67,70.0,49.0,70.0,47.0,20.0,42.55,4.0,0.0,0.0,49.0,37.0,7.0,2.0,1.0,185.0,138.0,74.59,91.0,90.0,98.9,265.0,239.0,90.19,47.0,23.0,48.94,69.0,44.0,63.77,83.0,68.0,81.93,12.0,4.0,33.33,32.0,28.0,87.5,4.0,17.33,4.42,7.64,17.24,19.37,9.52,Loss,2,4,Away,Providence Friars,2022,0.18999999999999995
2022-10-30,Creighton Bluejays - DePaul Blue Demons 3:0,United States. NCAA D1 Big East,97.0,Creighton Bluejays,3-4-1-2 (100.0%),3.0,3.37,21.0,9.0,42.86,678.0,574.0,84.66,60.76,130.0,15.0,52.0,63.0,108.0,33.0,49.0,26.0,184.0,98.0,53.26,8.0,1.0,12.5,45.0,13.0,28.89,6.0,3.0,50.0,22.0,5.0,22.73,6.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,37.5,5.0,24.0,42.0,11.0,6.0,47.0,69.0,22.0,31.88,2.0,0.0,3.0,0.0,0.0,79.0,57.0,72.15,25.0,14.0,56.0,6.0,3.0,50.0,46.0,10.0,11.0,1.0,0.0,217.0,159.0,73.27,110.0,102.0,92.73,272.0,252.0,92.65,51.0,32.0,62.75,73.0,56.0,76.71,97.0,68.0,70.1,8.0,4.0,50.0,18.0,15.0,83.33,10.0,18.17,5.95,7.52,17.56,18.4,7.12,Win,3,0,Home,DePaul Blue Demons,2022,-0.3700000000000001
2022-10-23,Marquette Golden Eagles - Creighton Bluejays 2:2,United States. NCAA D1 Big East,102.0,Creighton Bluejays,3-4-2-1 (100.0%),2.0,2.32,14.0,7.0,50.0,458.0,355.0,77.51,60.91,151.0,26.0,57.0,68.0,105.0,38.0,50.0,17.0,263.0,131.0,49.81,5.0,0.0,0.0,43.0,10.0,23.26,1.0,0.0,0.0,43.0,3.0,6.98,12.0,2.0,16.67,2.0,0.0,0.0,1.0,1.0,100.0,17.0,5.0,29.41,4.0,15.0,39.0,13.0,8.0,41.0,75.0,29.0,38.67,4.0,2.0,20.0,6.0,30.0,84.0,51.0,60.71,62.0,36.0,58.06,9.0,8.0,88.89,50.0,21.0,12.0,3.0,0.0,178.0,123.0,69.1,52.0,45.0,86.54,158.0,136.0,86.08,54.0,30.0,55.56,61.0,38.0,62.3,93.0,69.0,74.19,5.0,2.0,40.0,37.0,34.0,91.89,14.0,16.05,2.81,11.79,15.31,19.18,5.81,Draw,2,2,Away,Marquette Golden Eagles,2022,-0.31999999999999984
2022-10-20,Creighton Bluejays - Butler Bulldogs 4:2,United States. NCAA D1 Big East,103.0,Creighton Bluejays,3-4-3 (100.0%),4.0,1.25,10.0,5.0,50.0,521.0,423.0,81.19,53.17,134.0,21.0,47.0,66.0,109.0,44.0,41.0,24.0,246.0,132.0,53.66,2.0,2.0,100.0,41.0,8.0,19.51,2.0,1.0,50.0,30.0,1.0,3.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,26.92,8.0,22.0,41.0,7.0,10.0,41.0,95.0,43.0,45.26,6.0,2.0,9.0,5.0,55.56,90.0,63.0,70.0,43.0,23.0,53.49,7.0,2.0,28.57,40.0,18.0,15.0,3.0,0.0,202.0,155.0,76.73,83.0,80.0,96.39,172.0,148.0,86.05,65.0,35.0,53.85,77.0,59.0,76.62,105.0,77.0,73.33,7.0,2.0,28.57,24.0,19.0,79.17,6.0,17.76,4.07,12.48,18.91,21.82,8.59,Win,4,2,Home,Butler Bulldogs,2022,2.75
2022-10-15,Seton Hall Pirates - Creighton Bluejays 1:1,United States. NCAA D1 Big East,106.0,Creighton Bluejays,3-4-2-1 (100.0%),1.0,1.09,11.0,4.0,36.36,506.0,413.0,81.62,60.64,127.0,29.0,50.0,48.0,96.0,42.0,48.0,6.0,225.0,119.0,52.89,8.0,2.0,25.0,28.0,6.0,21.43,0.0,0.0,0.0,24.0,5.0,20.83,3.0,1.0,33.33,2.0,1.0,50.0,0.0,0.0,0.0,9.0,2.0,22.22,1.0,3.0,16.0,3.0,4.0,12.0,80.0,32.0,40.0,3.0,1.0,14.0,3.0,21.43,69.0,53.0,76.81,51.0,24.0,47.06,4.0,3.0,75.0,33.0,27.0,18.0,3.0,0.0,171.0,117.0,68.42,61.0,56.0,91.8,213.0,191.0,89.67,50.0,22.0,44.0,63.0,42.0,66.67,90.0,56.0,62.22,0.0,0.0,0.0,26.0,23.0,88.46,4.0,16.56,4.11,9.88,20.95,19.34,10.57,Draw,1,1,Away,Seton Hall Pirates,2022,-0.09000000000000008
2022-10-13,Xavier Musketeers - Creighton Bluejays 3:1,United States. NCAA D1 Big East,100.0,Creighton Bluejays,3-4-2-1 (100.0%),1.0,3.25,23.0,10.0,43.48,533.0,440.0,82.55,58.67,142.0,17.0,56.0,69.0,136.0,54.0,51.0,31.0,289.0,144.0,49.83,11.0,5.0,45.45,54.0,13.0,24.07,0.0,0.0,0.0,33.0,8.0,24.24,11.0,3.0,27.27,3.0,1.0,33.33,1.0,1.0,100.0,22.0,7.0,31.82,6.0,16.0,33.0,5.0,7.0,37.0,118.0,51.0,43.22,3.0,3.0,6.0,4.0,66.67,80.0,50.0,62.5,51.0,27.0,52.94,3.0,2.0,66.67,31.0,11.0,8.0,2.0,0.0,188.0,138.0,73.4,69.0,68.0,98.55,196.0,179.0,91.33,60.0,33.0,55.0,77.0,48.0,62.34,88.0,70.0,79.55,6.0,1.0,16.67,29.0,26.0,89.66,4.0,16.15,3.53,11.26,19.3,20.08,8.68,Loss,1,3,Away,Xavier Musketeers,2022,-2.25
2022-10-09,Creighton Bluejays - St John's Red Storm 1:1,United States. NCAA D1 Big East,104.0,Creighton Bluejays,3-4-2-1 (100.0%),1.0,1.37,15.0,4.0,26.67,614.0,505.0,82.25,64.76,139.0,17.0,49.0,73.0,115.0,53.0,35.0,27.0,276.0,123.0,44.57,7.0,1.0,14.29,37.0,12.0,32.43,0.0,0.0,0.0,36.0,2.0,5.56,6.0,1.0,16.67,1.0,0.0,0.0,1.0,1.0,100.0,18.0,5.0,27.78,5.0,13.0,35.0,13.0,11.0,27.0,106.0,39.0,36.79,3.0,1.0,9.0,4.0,44.44,63.0,38.0,60.32,41.0,19.0,46.34,5.0,2.0,40.0,34.0,12.0,14.0,4.0,0.0,216.0,163.0,75.46,83.0,75.0,90.36,214.0,185.0,86.45,62.0,35.0,56.45,87.0,60.0,68.97,109.0,86.0,78.9,8.0,3.0,37.5,26.0,23.0,88.46,4.0,17.28,4.29,10.1,20.61,19.36,7.11,Draw,1,1,Home,St John's Red Storm,2022,-0.3700000000000001
