Season,Date,Opponent,HomeAway,Result,GoalsFor,GoalsAgainst,xG,xG_diff,"Possession, %",PPDA
2022,2022-11-13,Georgetown Hoyas,Away,Win,3,0,1.9,1.1,46.48,7.63
2022,2022-11-10,Seton Hall Pirates,Away,Win,6,0,2.81,3.19,57.9,8.28
2022,2022-11-06,Xavier Musketeers,Away,Win,2,1,0.98,1.02,47.98,13.81
2022,2022-11-03,Providence Friars,Away,Loss,2,4,1.81,0.18999999999999995,60.75,9.52
2022,2022-10-30,DePaul Blue Demons,Home,Win,3,0,3.37,-0.3700000000000001,60.76,7.12
2022,2022-10-23,Marquette Golden Eagles,Away,Draw,2,2,2.32,-0.31999999999999984,60.91,5.81
2022,2022-10-20,Butler Bulldogs,Home,Win,4,2,1.25,2.75,53.17,8.59
2022,2022-10-15,Seton Hall Pirates,Away,Draw,1,1,1.09,-0.09000000000000008,60.64,10.57
2022,2022-10-13,Xavier Musketeers,Away,Loss,1,3,3.25,-2.25,58.67,8.68
2022,2022-10-09,St John's Red Storm,Home,Draw,1,1,1.37,-0.3700000000000001,64.76,7.11
2022,2022-10-02,Villanova Wildcats,Home,Win,3,1,3.28,-0.2799999999999998,59.3,7.33
2022,2022-09-24,Georgetown Hoyas,Away,Loss,1,2,3.82,-2.82,63.17,4.95
2022,2022-09-19,UCONN Huskies,Home,Draw,1,1,1.38,-0.3799999999999999,60.18,6.81
2022,2022-09-15,Omaha Mavericks,Away,Win,6,1,2.12,3.88,64.77,6.95
2022,2022-09-10,Stanford Cardinal,Home,Draw,1,1,2.3,-1.2999999999999998,64.15,6.76
2022,2022-09-06,San Diego State Aztecs,Home,Draw,2,2,2.67,-0.6699999999999999,71.36,5.14
2022,2022-09-03,Saint Louis Billikens,Home,Loss,2,3,2.26,-0.2599999999999998,67.72,6.85
2022,2022-08-29,Rutgers Scarlet Knights,Home,Win,6,1,3.25,2.75,58.61,7.05
2022,2022-08-26,Oakland Golden Grizzlies,Home,Win,6,0,5.83,0.16999999999999993,54.49,8.41
2023,2023-11-04,Providence Friars,Away,Loss,0,3,2.09,-2.09,54.47,9.32
2023,2023-10-28,St John's Red Storm,Away,Draw,2,2,2.66,-0.6600000000000001,60.1,9.26
2023,2023-10-21,UCONN Huskies,Home,Loss,0,2,2.13,-2.13,62.15,5.02
2023,2023-10-19,Akron Zips,Home,Win,3,2,1.13,1.87,46.75,7.42
2023,2023-10-14,Seton Hall Pirates,Away,Loss,1,2,0.98,0.020000000000000018,62.72,7.24
2023,2023-10-08,Butler Bulldogs,Away,Draw,2,2,1.58,0.41999999999999993,53.26,5.28
2023,2023-10-04,Omaha Mavericks,Home,Draw,2,2,1.84,0.15999999999999992,51.29,10.64
2023,2023-09-30,Xavier Musketeers,Home,Loss,0,1,0.73,-0.73,60.08,7.12
2023,2023-09-23,DePaul Blue Demons,Away,Win,2,1,3.0,-1.0,67.14,6.13
2023,2023-09-20,Tulsa Hurricane,Away,Draw,0,0,1.03,-1.03,38.11,13.52
2023,2023-09-16,Marquette Golden Eagles,Home,Win,2,1,2.71,-0.71,56.83,6.17
2023,2023-09-13,UMKC Kangaroos,Away,Loss,1,2,1.13,-0.1299999999999999,54.94,9.13
2023,2023-09-09,Michigan Wolverines,Home,Win,3,1,1.74,1.26,49.54,7.0
2023,2023-09-05,Denver Pioneers,Away,Draw,2,2,0.86,1.1400000000000001,61.94,9.67
2023,2023-09-02,Grand Canyon Lopes,Home,Loss,1,2,2.01,-1.0099999999999998,57.07,6.02
2023,2023-08-28,UC Irvine Anteaters,Away,Draw,0,0,0.58,-0.58,61.25,5.98
2023,2023-08-25,Stanford Cardinal,Away,Loss,1,3,0.91,0.08999999999999997,52.88,9.8
2024,2024-11-09,Georgetown Hoyas,Away,Loss,0,1,0.63,-0.63,56.27,6.63
2024,2024-11-02,Marquette Golden Eagles,Away,Win,5,2,2.16,2.84,43.2,6.68
2024,2024-10-26,Butler Bulldogs,Home,Win,6,1,3.26,2.74,47.06,7.87
2024,2024-10-24,Akron Zips,Away,Loss,0,3,0.78,-0.78,41.17,10.41
2024,2024-10-19,Villanova Wildcats,Home,Win,3,1,1.5,1.5,50.5,8.28
2024,2024-10-13,Xavier Musketeers,Away,Win,1,0,1.34,-0.3400000000000001,44.37,9.44
2024,2024-10-10,Omaha Mavericks,Away,Win,2,1,1.36,0.6399999999999999,49.43,6.36
2024,2024-10-05,DePaul Blue Demons,Home,Loss,0,2,3.12,-3.12,68.65,5.23
2024,2024-10-02,Missouri State Bears,Home,Loss,0,1,0.28,-0.28,56.59,9.3
2024,2024-09-29,Providence Friars,Away,Draw,2,2,1.46,0.54,40.86,5.68
2024,2024-09-21,Georgetown Hoyas,Home,Loss,0,1,1.92,-1.92,65.02,4.47
2024,2024-09-14,Tulsa Hurricane,Home,Win,3,0,1.98,1.02,43.66,8.69
2024,2024-09-10,Grand Canyon Lopes,Away,Win,1,0,2.63,-1.63,52.84,7.68
2024,2024-09-07,Denver Pioneers,Home,Loss,1,3,1.95,-0.95,60.32,8.19
2024,2024-09-02,San Francisco Dons,Home,Win,4,2,1.76,2.24,60.17,6.2
2024,2024-08-30,Loyola Chicago Ramblers,Home,Draw,1,1,2.24,-1.2400000000000002,59.32,4.83
2024,2024-08-26,Drake Bulldogs,Home,Win,5,3,4.21,0.79,63.21,5.12
2024,2024-08-23,FAU Owls,Home,Draw,0,0,1.71,-1.71,51.96,5.71
2025,2025-11-08,Akron Zips,Home,Loss,0,1,0.6,-0.6,54.56,8.03
2025,2025-11-01,Seton Hall Pirates,Home,Draw,1,1,1.1,-0.10000000000000009,62.39,7.73
2025,2025-10-25,Butler Bulldogs,Away,Win,3,1,2.24,0.7599999999999998,57.6,7.27
2025,2025-10-17,Villanova Wildcats,Away,Draw,1,1,1.33,-0.33000000000000007,64.37,6.17
2025,2025-10-12,Xavier Musketeers,Home,Win,2,0,1.72,0.28,57.75,4.68
2025,2025-10-09,Missouri State Bears,Home,Win,1,0,0.64,0.36,55.74,6.39
2025,2025-10-04,UCONN Huskies,Away,Loss,0,3,2.39,-2.39,50.72,5.95
2025,2025-09-27,DePaul Blue Demons,Away,Win,2,0,2.16,-0.16000000000000014,50.83,9.13
2025,2025-09-20,Marquette Golden Eagles,Home,Win,1,0,1.88,-0.8799999999999999,49.35,6.52
2025,2025-09-14,Oral Roberts Golden Eagles,Home,Win,3,0,4.29,-1.29,54.86,5.96
2025,2025-09-11,Omaha Mavericks,Home,Win,3,2,1.82,1.18,52.0,5.39
2025,2025-09-06,Denver Pioneers,Home,Win,2,0,1.23,0.77,40.45,10.38
2025,2025-09-02,Tulsa Hurricane,Home,Draw,0,0,1.09,-1.09,55.27,7.85
2025,2025-08-30,Michigan Wolverines,Away,Loss,1,3,1.14,-0.1399999999999999,54.5,4.52
2025,2025-08-25,FIU Panthers,Away,Draw,1,1,1.26,-0.26,55.38,5.71
2025,2025-08-22,FAU Owls,Away,Loss,0,3,0.96,-0.96,53.72,6.84
2026,2026-09-05,Gonzaga Bulldogs,Home,Win,2,0,2.16,-0.16000000000000014,58.75,
2026,2026-09-01,Tulsa Hurricane,Away,Win,5,0,3.35,1.65,49.34,
2026,2026-08-28,San Francisco Dons,Home,Win,4,2,4.78,-0.7800000000000002,54.57,
2026,2026-08-23,Drake Bulldogs,Home,Draw,1,1,0.8,0.19999999999999996,61.54,
2026,2026-08-21,FIU Panthers,Home,Win,6,2,1.7,4.3,38.18,
