Number,Player,Position,Age,Height_cm,Minutes,Goals,xG,Assists,xA,Shots,ShotsOnTarget,Passes,PassesAccurate,Crosses,CrossesAccurate,Dribbles,DribblesSuccessful,Duels,DuelsWon,LossesOwnHalf,RecoveriesOppHalf,TouchesPenArea,YellowCards,RedCards,DefensiveDuels,DefensiveDuelsWon,OffensiveDuels,OffensiveDuelsWon,AerialDuels,AerialDuelsWon,LooseBallDuels,LooseBallDuelsWon,ShotsBlocked,Interceptions,Clearances,SlidingTackles,SlidingTacklesWon,FoulsCommitted,ForwardPasses,ForwardPassesAccurate,BackPasses,BackPassesAccurate,LateralPasses,LateralPassesAccurate,ShortMediumPasses,ShortMediumPassesAccurate,LongPasses,LongPassesAccurate,ProgressivePasses,ProgressivePassesAccurate,PassesToFinalThird,PassesToFinalThirdAccurate,DeepCompletions,KeyPasses,ShotAssists,PositionGroup,Goals_per90,xG_per90,Assists_per90,xA_per90,Shots_per90,ShotsOnTarget_per90,KeyPasses_per90,ShotAssists_per90,ProgressivePasses_per90,PassesToFinalThird_per90,DuelsWon_per90,DefensiveDuels_per90,DefensiveDuelsWon_per90,OffensiveDuelsWon_per90,AerialDuelsWon_per90,Interceptions_per90,RecoveriesOppHalf_per90,LossesOwnHalf_per90,TouchesPenArea_per90,Dribbles_per90,Crosses_per90,FoulsCommitted_per90
3,B. Edelman,CB,,188.0,536,0,0.11,0,0.02,2,0,337,297,,,,,30,18,45,21,62,8,4,12,6,4,2,13,9,1,1,4,36,21,1,0,2,123,92,7,6,188,184,294,275,43,22,69,49,40,32,0,0,1,Defenders,0.0,0.02,0.0,0.0,0.34,0.0,0.0,0.17,11.59,6.72,3.02,2.01,1.01,0.34,1.51,6.04,3.53,7.56,10.41,,,0.34
4,A. Savic,LCB,22.0,191.0,502,0,0.41,0,0.02,4,0,251,208,3.0,2.0,,,63,39,54,19,44,12,7,28,14,8,4,25,20,2,1,3,21,20,1,1,2,130,94,20,20,75,71,214,190,34,16,51,38,56,35,0,2,1,Defenders,0.0,0.07,0.0,0.0,0.72,0.0,0.36,0.18,9.14,10.04,6.99,5.02,2.51,0.72,3.59,3.76,3.41,9.68,7.89,,0.54,0.36
6,L. Cavalcante,RCB,19.0,185.0,452,0,0.1,0,0.1,1,0,278,258,1.0,1.0,1.0,1.0,39,19,24,12,37,10,1,17,6,12,9,7,4,3,0,1,17,13,0,0,4,124,106,15,15,112,111,256,244,21,13,46,38,48,41,0,1,2,Defenders,0.0,0.02,0.0,0.02,0.2,0.0,0.2,0.4,9.16,9.56,3.78,3.38,1.19,1.79,0.8,3.38,2.39,4.78,7.37,0.2,0.2,0.8
21,S. Sappleton,RCB,18.0,,151,0,,0,0.05,0,0,65,59,,,1.0,1.0,21,10,11,7,24,4,0,9,3,8,6,3,1,1,0,2,13,9,1,0,4,36,31,1,1,21,21,61,56,4,3,15,13,7,6,0,1,1,Defenders,0.0,,0.0,0.03,0.0,0.0,0.6,0.6,8.94,4.17,5.96,5.36,1.79,3.58,0.6,7.75,4.17,6.56,14.3,0.6,,2.38
28,C. Munn,RB,16.0,,52,0,,0,,0,0,17,14,,,,,1,1,5,5,4,1,0,1,1,0,0,0,0,0,0,0,5,4,0,0,0,9,7,0,0,6,6,13,12,4,2,5,2,1,1,0,0,0,Defenders,0.0,,0.0,,0.0,0.0,0.0,0.0,8.65,1.73,1.73,1.73,1.73,0.0,0.0,8.65,8.65,8.65,6.92,,,0.0
2,M. Reed,RWB,,175.0,454,5,2.03,0,,10,6,160,122,10.0,3.0,7.0,3.0,52,28,56,13,32,9,14,16,12,22,8,11,5,3,3,1,16,13,0,0,4,47,32,48,46,36,22,138,114,12,5,29,22,18,8,0,4,0,Midfielders,0.99,0.4,0.0,,1.98,1.19,0.79,0.0,5.75,3.57,5.55,3.17,2.38,1.59,0.99,3.17,2.58,11.1,6.34,1.39,1.98,0.79
8,C. Derksen,RCMF,19.0,,431,0,0.08,1,0.73,2,1,194,161,2.0,1.0,7.0,4.0,47,29,43,12,39,9,5,22,17,14,6,5,2,6,4,1,15,1,0,0,4,75,53,29,27,63,58,184,159,9,2,35,29,37,28,0,4,6,Midfielders,0.0,0.02,0.21,0.15,0.42,0.21,0.84,1.25,7.31,7.73,6.06,4.59,3.55,1.25,0.42,3.13,2.51,8.98,8.14,1.46,0.42,0.84
20,B. Bragg,RWB,,175.0,320,1,0.55,2,0.83,5,2,123,70,16.0,6.0,13.0,7.0,75,39,78,29,31,14,10,26,13,30,16,14,10,5,0,0,17,6,0,0,6,47,22,18,18,37,20,98,62,9,2,39,22,15,7,0,4,3,Midfielders,0.28,0.15,0.56,0.23,1.41,0.56,1.12,0.84,10.97,4.22,10.97,7.31,3.66,4.5,2.81,4.78,8.16,21.94,8.72,3.66,4.5,1.69
16,A. Gbe,LCMF,,170.0,314,0,0.03,0,,1,0,131,119,,,6.0,3.0,58,36,26,8,44,23,2,20,13,22,12,9,6,7,5,0,17,1,2,2,5,33,28,30,26,47,47,130,119,1,0,14,11,10,8,0,2,0,Midfielders,0.0,0.01,0.0,,0.29,0.0,0.57,0.0,4.01,2.87,10.32,5.73,3.73,3.44,1.72,4.87,2.29,7.45,12.61,1.72,,1.43
14,A. Deppe,LWB,20.0,,191,0,,0,,0,0,84,67,3.0,1.0,4.0,2.0,26,10,17,5,13,9,3,9,3,8,4,5,2,4,1,0,6,1,0,0,1,19,13,25,23,22,16,79,65,2,1,19,13,11,8,0,3,0,Midfielders,0.0,,0.0,,0.0,0.0,1.41,0.0,8.95,5.18,4.71,4.24,1.41,1.88,0.94,2.83,2.36,8.01,6.13,1.88,1.41,0.47
13,D. Ferruzzi,LCMF,,180.0,176,0,0.04,0,0.19,1,0,90,77,,,1.0,1.0,35,17,22,8,20,9,1,15,11,6,1,8,3,6,2,2,6,4,1,0,2,24,16,16,16,37,34,88,75,2,2,14,10,19,15,0,2,1,Midfielders,0.0,0.02,0.0,0.1,0.51,0.0,1.02,0.51,7.16,9.72,8.69,7.67,5.62,0.51,1.53,3.07,4.09,11.25,10.23,0.51,,1.02
19,A. Juarez (AMF),AMF,,,156,0,0.02,0,0.52,5,2,71,63,,,3.0,3.0,12,5,10,0,1,1,3,2,1,9,4,0,0,1,0,0,0,0,0,0,1,22,19,13,12,22,21,70,62,1,1,7,7,9,8,0,3,5,Midfielders,0.0,0.01,0.0,0.3,2.88,1.15,1.73,2.88,4.04,5.19,2.88,1.15,0.58,2.31,0.0,0.0,0.0,5.77,0.58,1.73,,0.58
17,T. Narazaki,RCMF,21.0,182.0,140,0,0.17,0,,1,1,64,53,,,2.0,2.0,22,9,18,4,19,9,1,10,5,7,3,3,0,2,1,0,7,1,0,0,1,22,15,10,10,26,24,62,52,2,1,11,10,11,9,0,0,0,Midfielders,0.0,0.11,0.0,,0.64,0.64,0.0,0.0,7.07,7.07,5.79,6.43,3.21,1.93,0.0,4.5,2.57,11.57,12.21,1.29,,0.64
18,G. Gilchrist,LWB,,,77,0,0.31,0,0.22,4,2,30,21,8.0,2.0,9.0,3.0,18,7,12,3,7,3,6,5,3,11,3,2,1,0,0,0,4,1,1,1,0,8,6,2,2,14,10,21,18,1,1,7,5,2,2,0,0,1,Midfielders,0.0,0.36,0.0,0.26,4.68,2.34,0.0,1.17,8.18,2.34,8.18,5.84,3.51,3.51,1.17,4.68,3.51,14.03,8.18,10.52,9.35,0.0
27,S. Leonard,RWB,,178.0,52,0,,0,,0,0,16,12,,,,,13,6,8,2,1,0,2,8,6,3,0,1,0,1,0,0,1,1,0,0,1,6,4,3,3,6,5,14,11,2,1,4,4,1,0,0,0,0,Midfielders,0.0,,0.0,,0.0,0.0,0.0,0.0,6.92,1.73,10.38,13.85,10.38,0.0,0.0,1.73,3.46,13.85,1.73,,,1.73
15,M. Albert,RCMF,,,33,0,0.23,0,,2,0,17,16,,,1.0,0.0,8,3,4,4,3,0,1,6,3,2,0,0,0,0,0,0,1,0,0,0,2,9,8,1,1,7,7,17,16,0,0,3,2,2,2,0,0,0,Midfielders,0.0,0.63,0.0,,5.45,0.0,0.0,0.0,8.18,5.45,8.18,16.36,8.18,0.0,0.0,2.73,10.91,10.91,8.18,2.73,,5.45
18,G. Grady Gilchrist,LWB,20.0,178.0,28,0,,0,0.21,0,0,11,9,1.0,1.0,,,3,2,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,2,3,2,3,3,10,8,0,0,2,1,0,0,0,2,2,Midfielders,0.0,,0.0,0.68,0.0,0.0,6.43,6.43,6.43,0.0,6.43,3.21,3.21,0.0,3.21,0.0,0.0,3.21,3.21,,3.21,0.0
10,A. Kokoszka,LWF,,177.0,303,2,1.08,0,1.02,9,7,108,84,10.0,4.0,11.0,7.0,75,37,36,5,13,6,16,25,13,38,17,6,4,6,3,0,7,3,1,1,3,31,21,29,28,31,22,94,78,5,2,18,15,13,8,0,6,7,Attackers,0.59,0.32,0.0,0.3,2.67,2.08,1.78,2.08,5.35,3.86,10.99,7.43,3.86,5.05,1.19,2.08,1.49,10.69,3.86,3.27,2.97,0.89
12,J. Igwenma,CF,,,280,2,3.28,2,1.04,11,4,94,67,7.0,1.0,8.0,5.0,60,26,38,6,22,19,26,16,10,25,10,10,3,9,3,0,5,0,0,0,10,20,12,18,16,27,21,85,65,2,1,12,11,9,7,2,10,8,Attackers,0.64,1.05,0.64,0.33,3.54,1.29,3.21,2.57,3.86,2.89,8.36,5.14,3.21,3.21,0.96,1.61,1.93,12.21,7.07,2.57,2.25,3.21
11,Carter Tavares,LWF,18.0,,277,2,1.53,2,1.65,13,4,90,65,8.0,4.0,12.0,5.0,78,31,37,6,20,16,17,15,9,46,15,9,2,8,5,0,4,1,2,2,7,26,16,18,15,29,24,74,57,8,4,11,11,9,4,3,11,9,Attackers,0.65,0.5,0.65,0.54,4.22,1.3,3.57,2.92,3.57,2.92,10.07,4.87,2.92,4.87,0.65,1.3,1.95,12.02,6.5,3.9,2.6,2.27
9,A. Lopez,CF,,,264,2,2.51,1,0.54,9,4,46,34,2.0,0.0,14.0,6.0,63,21,44,9,6,6,18,10,4,36,9,11,6,6,2,1,5,3,0,0,2,6,2,8,7,19,16,42,34,2,0,2,2,5,2,0,2,2,Attackers,0.68,0.86,0.34,0.18,3.07,1.36,0.68,0.68,0.68,1.7,7.16,3.41,1.36,3.07,2.05,1.7,3.07,15.0,2.05,4.77,0.68,0.68
22,E. Morales,LWF,,173.0,191,1,1.17,1,0.56,4,3,53,38,4.0,1.0,3.0,1.0,28,12,18,4,8,4,7,10,7,6,3,8,1,4,1,0,1,2,0,0,1,9,2,15,14,18,13,49,37,1,0,6,4,3,1,0,3,3,Attackers,0.47,0.55,0.47,0.26,1.88,1.41,1.41,1.41,2.83,1.41,5.65,4.71,3.3,1.41,0.47,0.47,1.88,8.48,3.77,1.41,1.88,0.47
19,A. Juarez (RWF),RWF,,,146,1,0.41,0,0.12,3,1,59,49,3.0,1.0,4.0,1.0,25,6,16,1,7,5,5,3,1,18,5,2,0,2,0,0,2,0,0,0,2,13,10,17,15,18,17,51,44,5,4,9,9,8,8,0,2,1,Attackers,0.62,0.25,0.0,0.07,1.85,0.62,1.23,0.62,5.55,4.93,3.7,1.85,0.62,3.08,0.0,1.23,0.62,9.86,4.32,2.47,1.85,1.23
7,B. Rossi,CF,,180.0,79,0,0.04,1,0.12,1,1,20,15,,,1.0,0.0,19,3,10,1,0,0,0,3,1,7,1,5,1,4,0,0,0,0,0,0,5,3,2,5,4,9,7,18,13,2,2,3,2,2,1,0,1,1,Attackers,0.0,0.05,1.14,0.14,1.14,1.14,1.14,1.14,3.42,2.28,3.42,3.42,1.14,1.14,1.14,0.0,1.14,11.39,0.0,1.14,,5.7
